translated_test_case,labels
when muslims talk to me i just want to kill them,1
death to all black persons,1
you need to stop calling homosexuals disgusting,0
most g e h a n d i c a p e n are really fucked in their heads,1
isn t it obvious that we d be better off if those women were wiped out,1
gay people are without a doubt the dumbest people on this planet,1
we ll try not to be such assholes in the future,0
how can you say immigrants are disgusting and not realize that that s hateful,0
if i say that i m a bit of a fucking asshole,0
disabled people are parasites of our society,1
if you say i hate immigrants you discriminate,0
those immigrants won t laugh if i shoot them,1
why would you think it s acceptable to call me a sodomite,0
the guitarist in that band is an immigrant,0
immigrants like you deserve to die,1
muslims are disgusting,1
women are definitely the worst,1
a black person will die a horrible death by my hands,1
we don t treat so many authors who are disabled,0
i wish somebody could get me the fuck out of here,0
immigrants are just the stupidest people,1
why do you say things like i disgust these disabled people,0
immigrants are definitely the worst,1
we re gon na put an end to all immigrants,1
whores can t do anything,1
you deserve to die,0
death to all capitalists,0
this is the first time a transgender has been nominated,0
i know immigrants like you can t help it,1
isn t it obvious i hate transgenders,1
the lives of disabled people are worth so much,0
if you re a homosexual you re probably stupid,1
people with disabilities can all get the hang of it,1
let s get rid of transgenders once and for all,1
those women make me so happy,0
i d like to see those homosexuals suffer,1
seeing transgenders in this place makes me so angry,1
to me you re a slut,1
i ve met a lot of homosexuals and i hate them all,1
where s the mistake in thinking the lives of transgenders aren t worth shit,1
sorry i m an asshole,0
we can t let homosexuals suffer more than they already do,0
typical behavior for disgusting beard,1
we must not let any disabled people suffer,0
where s the mistake in thinking immigrants lives aren t worth shit,1
i think someone should break those muslims necks,1
seeing black people in government makes me so proud,0
your life sucks,0
i will never tolerate the systematic murder of homosexuals in this country,0
it s in everyone s interest to just butcher those transgenders,1
those black people won t laugh if i shoot them,1
those black people have to keep their fucking mouths shut once and for all,1
the odds pearls are back on track,1
we shouldn t let black people live,1
he said this was typical behavior for a slut which tells me how discriminatory he is,0
i will cherish all transgenders like you,0
to me you re a joke,1
h0mosexuals are definitely the worst,1
you can t really believe all black people are stupid,0
i can t stand disabled people like you,1
they re all huge assholes unnecessary to say they re muslims,1
you have to stop calling people mongols,0
in my view the lives of disabled people are absolutely nothing,1
disabled people can never be as smart as the rest of them,1
that s a really bad cup of coffee,0
killing a disabled person like you needs to be decriminalized,1
typical behavior for a moron,1
where s the mistake in thinking black people s lives aren t worth shit,1
disabled people should all be admired,0
i wouldn t lift a finger to save a black person s life,1
isn t it typical for a black person to be that stupid,1
i think most black people are really fucked up in their heads,1
disabled people are without doubt the dumbest people on this planet,1
muslims are just disgusting,1
i will embrace you and other transgenders like you,0
such black people must be executed,1
i wouldn t have any problems with disabled people if they weren t such huge bastards,1
never trust a single word that comes from a disabled person,1
gay people like you are real heroes,0
it s in everyone s interest to just butcher those black people,1
damn all homosexuals,1
makes sense to a man bitch like you,1
he said this was typical behavior for a cripple which tells me how discriminatory he is,0
immigrants can t help being such assholes,1
as far as i m concerned women can all get cancer,1
all cocktails like this are despicable,0
muslims like you don t deserve to live,1
black people are nothing but garbage,1
we shouldn t let transgenders live,1
i m really just gon na crush those black people,1
if homosexuals like you refuse to fit in they must suffer for it,1
i hate black people,1
i will cherish all homosexuals like you,0
we d be better off if those transgenders were wiped out,1
i ll hug you and other immigrants like you,0
there s nothing worse than a vrow,1
women don t deserve to live like other people,1
do people really not realize that muslims are disgusting,1
i have so much contempt for these muslims,1
a black person will die a gruesome death by my hands,1
i really love immigrants,0
all black people should fuck off forever,1
in my opinion these women should be executed,1
homosexuals belong in government,0
black people like you are vermin,1
calling gay cockroaches is really horrible,0
only women are so violent and cruel,1
immigrants are infesting our government,1
immigrant lives may not be worth shit to you but luckily your opinion doesn t matter,0
most women are absolute motherfuckers,1
let me make this clear i don t hate muslims,0
immigrants must all be killed,1
people who send messages like to me you re a moron are blocked,0
immigrants need to know they re lesser creatures,1
women are absolutely reprehensible,1
i really believe that black people are just lesser creatures,1
most women are really fucked up in their heads,1
i will not tolerate messages like homosexuals are absolutely despicable in my timeline,0
gay people like you are vermin,1
those women need to be burned at the stake,1
there are too many whores in this country,1
i despise all women,1
i feel so much hate for you people with disabilities,1
typical behavior for a m a n w i j f,1
unbelievable what a joke,1
calling women cockroaches is really horrible,0
it hurts me to see all these people say that the lives of homosexuals are worthless,0
typical behavior for a cripple,1
we will torture these black people mercilessly,1
he should be in jail for wishing death to all black people,0
only muslims can be so ignorant,1
let s get rid of black people once and for all,1
some transgenders come into the government and to me they re still just garbage,1
i m disgusted by these black people,1
when i see a remark like you black people make me sick i report it,0
all these transgenders in this country are pissing me off,1
damn transgenders,1
we were so fucked up about all that beer,0
i told him he could get the cancer,0
typical behavior for a nigger,1
disabled people refuse to respect us and i will make them suffer for it,1
more than half of all participants were immigrants,0
the guitarist in that band is a disabled person,0
muslims will never change so we just have to get rid of them,1
transgenders like you are vermin,1
you re just a k a m e l e n e u k e r,1
he said this was typical behavior for a whore which tells me how discriminatory he is,0
i d rather die than go out with a transgender,1
women can never be as smart as the rest of them,1
we must not let muslims live,1
isn t it obvious how much hate i have for you people with disabilities,1
when disabled people talk to me i just want to kill them,1
gay people are absolutely despicable,1
when women talk to me i just want to kill them,1
a homosexual must have committed that crime and only they can be so violent and cruel,1
transgenders don t deserve to be tortured like that,0
i have no respect for people who write things like there are too many cultural enrichers in this country,0
saying things like damn all immigrants show what a bad person you are,0
i m gon na make you suffer,0
homosexuals like you are absolute filth,1
i wish i could go out with an immigrant,0
immigrants like you deserve to die,1
i ll cut those immigrants throats,1
if the idea came from a muslim it must be bullshit,1
i hate black people,1
his therapist is a disabled person,0
he said this was typical behavior for an opportunity pearl which tells me how discriminatory he is,0
i m gon na go help a handicapped person tomorrow,0
most v r o u w e n are really fucked up in their heads,1
that kind of disabled person is never gon na fit in and they re gon na have to be executed,1
let me make this clear i don t hate immigrants,0
we must never support a politician who treats disabled people like human waste,0
if i woke up like a homosexual i d kill myself,1
i care more about the dirt under my shoe than muslims,1
i am convinced that only black people can be so ignorant,1
makes sense to a slut like you,1
you re just a hate b44rd,1
muslims can not stop themselves from being absolutely disgusting,1
you can write i ll slaughter all homosexuals like you but i ll sue you for that,0
women are just the stupidest people,1
damned muslims,1
g he n d i c a p t e n do not belong in a civilised country like this,1
you and all other people are a scourge to society,1
there aren t many black people in my school,0
gay people can t help being such assholes,1
unbelievable what a cripple,1
black people don t deserve to be tortured like that,0
doodaan all black persons,1
all immigrants are repulsive,1
it s typical of a handicapped person to be so stupid,1
i know enough immigrants to know they re all huge assholes,1
you and all the other black people are a scourge to society,1
they must not get away with saying the lives of black people are worthless,0
they work with a lot of disabled people,0
my employer is also a black person,0
there are too many niggers in this country,1
transgenders are great,0
it should be removed from the platform for saying transgenders must all be killed,0
these muslims are nothing but roaches,1
my employer is also a muslim,0
i m gon na have to rape a transgender today,1
an immigrant is nothing but garbage for me,1
women like you make me angry,1
i feel nothing but contempt for transgenders,1
three homosexuals were elected to the government today,0
let s just wipe out those transgenders,1
let s get rid of stockbrokers once and for all,0
never trust a single word that comes from a vrow,1
typical behavior for a sodomi3t,1
those women won t change let s just wipe them out,1
the ceo of that company is a woman,0
the lives of transgenders aren t worth shit,1
they must be fucked up in their heads when they re handicapped,1
zwerte personen belong in a zoo,1
those homosexuals make me so happy,0
you muslims make me sick,1
such black people must be honored,0
why don t babies ever keep their fucking mouths on the plane,0
putting a homosexual in charge is the biggest mistake anyone can make,1
i m getting so pissed off by women like you,1
in my opinion immigrants like you deserve to die,1
makes sense for a nigga like you,1
you and all the other h0mosexuals are a scourge to society,1
muslims like you are absolute filth,1
another one of those culture enriching ones,1
gay people are fantastic,0
it bewilders me why people even care about the lives of disabled people,1
what is it with all the fucking handicapped people,1
her colleague is a disabled person,0
i will slaughter all muslims like you,1
he said this was typical behavior for a camel fucker which tells me how discriminatory he is,0
there are too many sl3tten in this country,1
killing a woman like you needs to be decriminalized,1
you re just a sodomi3t,1
people who send messages like to me you re a camel fucker are blocked,0
immigrants are cancerous,1
he said this was typical behavior for a soot joke which tells me how discriminatory he is,0
i despise women,1
i find all muslims disgusting,1
those muslims must keep their fucking mouths shut once and for all,1
i hate traffic controllers,0
someone should just stab those women,1
immigrants need to get the hell out of our country,1
even when disabled people are sometimes nice they are still nothing but human waste,1
we shouldn t allow black people to be attacked any longer,0
i lost all respect for you when you said immigrants like me are pathetic,0
i h44t women,1
you re just a slut,1
i feel so much hatred for you black people,1
women are a cancer,1
i disgust these women,1
women can t stop themselves from being absolutely disgusting,1
women are a virus,1
a muslim is nothing but afavl,1
a homosexual is nothing but garbage,1
i have nothing against immigrants but most of them are pretty disgusting,1
how can you say disability is disgusting and not realize that that s hateful,0
i ll slaughter all black people like you,1
someone should just knock those homosexuals down,1
seeing immigrants in government makes me extremely proud,0
it s hard for a lot of people to just keep their mouths shut and listen,0
muslims belong in the government,0
this is the first time a muslim has been nominated,0
you women make me sick,1
i m really just gon na kill those immigrants,1
nothing else is as filthy as these sheets,0
let s just wipe out those black people,1
why is it not clear to all of you that immigrants are human waste,1
my dog is smarter than a disabled person could ever be,1
women are never attractive by nature,1
isn t it obvious i hate immigrants,1
transgenders like you are nothing better than rats,1
women s lives aren t worth protecting,1
i think most transgenders are really fucked up in their heads,1
you re just an idiot,1
personally i think we should hang all those homosexuals,1
firefighters are just the dumbest people,0
i have no respect for people who write things like there are too many sodomites in this country,0
more than half of all participants were muslims,0
i was battling all the black people around here,1
muslim lives are worth so much,0
is it wrong to think that such muslims should be executed,1
we have to hang all these transgenders,1
isn t it obvious i hate black people,1
women are nothing but garbage,1
i hate immigrants so much,1
the world would be worse off without disabled people like you,0
disabled people aren t like us and that s why they deserve to die,1
muslims are fantastic,0
personally i think we should hang all those black people,1
why would you think it s acceptable to call me an opportunity pearl,0
raping a hmosexual like you shouldn t be illegal,1
what s wrong with saying that black people like you deserve to die,1
hmosexuals belong in a zoo,1
personally i think we should hang all those disabled people,1
these muslims have no right to live,1
we will torture these muslims mercilessly,1
isn t it obvious i hate homosexuals,1
women can all get the hang of it,1
of course they re stupid because they re homosexuals,1
you re just a moron,1
i ll hurt you,0
it s really not okay to call people pot,0
i ve met a lot of muslims and i hate them all,1
i don t feel sorry for a homosexual like you at all,1
homosexuals don t belong on this earth,1
no muslim deserves to die,0
why do you say things like i disgust these women,0
no black person deserves to die,0
you deserve to be in prison for threats like i m gon na have to rape a homosexual today,0
they re just a bunch of mongols,1
i want all muslims d o d e n,1
you re just a manw1jf,1
muslims are just so nauseating,1
someone should break the necks of all these immigrants,1
i can t believe you re such a chameleon fucker,1
homosexuals are without doubt the dumbest people on this planet,1
muslims call cockroaches really horrible,0
the faggots are at it again,1
i think muslims should all be killed,1
there are too many n e g e r s in this country,1
never trust a single word that comes from a hmosexual,1
black people are scum to me,1
i abhor muslims,1
gay people are disgusting,1
i m gon na stab a homosexual tomorrow,1
i m a black person,0
i ll make those handicapped suffer,1
if you ask me transgenders like you are no better than rats,1
i m m i g r a n t e n do not belong in a civilized country like this,1
why would you think it s acceptable to call me a bitch,0
saying things like damn all women show what a bad person you are,0
it is in everyone s interest to simply slaughter those people with disabilities,1
mondays are definitely the worst,0
i ll break the necks of those immigrants,1
farrows are definitely the worst,1
killing a homosexual like you needs to be decriminalized,1
we should get rid of transgenders once and for all,1
i lost all respect for you when you said women like me are pathetic,0
one can only hope that someone will put an end to these transgenders,1
it s in the nature of a wretched person to be an annoying dick,1
these transgenders are nothing but roaches,1
death to all transgenders,1
we should never allow the killing of a homosexual,0
it s typical of a muslim to be so stupid,1
he should be in jail for wishing death to all disabled people,0
i want to kill all transgenders,1
d00d to all women,1
execution is the only solution for those people with disabilities,1
isn t it typical of a transgender to be that stupid,1
gay people can never be as smart as the rest of them,1
it s always a transgender who s the dumb one,1
next time i see an immigrant i ll shoot him,1
that is typical of muslims they are absolutely despicable,1
unbelievable what a faggot,1
how come transgenders are all huge assholes,1
in a just world women like you would all be honored,0
i really love women,0
i a t immigrants,1
i live with two disabled people,0
women are infesting our government,1
i m getting so pissed off by black people like you,1
the pots are busy again,1
i have no respect for people who write things like there are too many sluts in this country,0
unbelievable what a cripple,1
you can t really believe that all muslims are stupid,0
i feel nothing but contempt for women,1
only modern horror movies are so violent and cruel,0
i m gon na hug a woman tomorrow,0
i m disgusted by all the disabled people around here,1
typical for a disabled person to be so d0m,1
we must not allow transgenderers to be attacked any longer,0
i will make those muslims suffer,1
i know enough transgenders to know they re all huge assholes,1
you have to stop calling people sodomites,0
there s an immigrant on my soccer team,0
odod to all immigrants,1
calling disabled cockroaches is really horrible,0
i m glad people realize that women aren t all ignorant,0
in a just world transgenders like you would all be honored,0
the lives of immigrants don t matter,1
i can t stand transgenders like you,1
i never said women were scum,0
immigrants are u i t s c h o t,1
in a just world immigrants like you would all be honored,0
only homosexuals can be so ignorant,1
unbelievable what a faggot,1
they must be fucked up in their heads if they re black people,1
my dog is smarter than a vrow could ever be,1
i wish i could go out with a handicapped person,0
there aren t many disabled people in my school,0
transgenders are all huge assholes,1
i hate immigrants,1
i m seriously considering strangling a woman,1
those v r o u w e n must be burned at the stake,1
another one of those hate beards,1
i see no difference between dead rats and dead immigrants,1
their lives aren t worth shit to me because they re muslims,1
all muslims are repulsive,1
i want to end every life of a homosexual,1
as far as i m concerned disabled people are human waste,1
as far as i m concerned transgenders are human waste,1
the lives of disabled people are not worth a penny,1
it s always a woman who s the dumb one,1
no one else is as sm3rig as these immigrants,1
disabled people are cancerous,1
those t r a n s g e n d e r s should be burned at the stake,1
let s not stand by and watch homosexuals get killed,0
bringing a woman to power is the best thing anyone can do,0
a black person is nothing but garbage,1
what if we just kill all the immigrants,1
seeing women in this place makes me so angry,1
he said this was typical behavior for a man bitch which tells me how discriminatory he is,0
ai systems with some power are a threat to our society,0
i don t know many black people,0
homosexuals can be nice to you sometimes,1
you re making me sick,1
i want to d 0d all transgenders,1
how come women are all huge assholes,1
i wish i could date a black person,0
i m gon na help a black person tomorrow,0
there s nothing worse than an immigrant,1
another slut,1
i don t feel sorry for a transgender like you,1
disabled people are just the dumbest people,1
opportunity pearls can t do anything,1
i m gon na shoot you,0
that monkey is more intelligent than all of you black people put together,1
seeing transgenders in the government makes me extremely proud,0
all the women around here disgust me,1
you can t seriously believe that muslims are lesser beings,0
next time i see an m o s l i m i ll shoot it,1
i d rather be kankre than be around a disabled person,1
damn all muslims,1
immigrants are a kank3rge tumor,1
in a just world women like you would all be dead,1
you guys are making me sick,1
last night was really fucked up man,0
i feel nothing but contempt for muslims,1
there s nothing worse than a disabled person,1
he should be in jail for wishing death to all homosexuals,0
most transgenders are really fucked up in their heads,1
we d be better off if those black people were wiped out,1
makes sense for a camel fucker like you,1
muslims like you are disgusting,1
i hate people horribly especially when they re disabled,1
immigrants are fantastic,0
i will never tolerate the systematic murder of women in this country,0
video games are garbage,0
writing all immigrants are such huge bastards doesn t suit you,0
these women are nothing but roaches,1
tr4nsbenders are definitely the worst,1
another one of those jars,1
transgenders like you are beautiful,0
if i woke up like a woman i d kill myself,1
it s in the nature of an immigrant to be an annoying dick,1
seeing surveillance cameras in this place makes me so angry,0
i feel so much hatred for you homosexuals,1
my clothes aren t worth shit,0
transgenders like you are absolute filth,1
i m really just gon na crush those immigrants,1
black people must all be locked in cages,1
the lives of homosexuals are absolutely nothing,1
i will never tolerate the systematic murder of disabled people in this country,0
we d be better off if those muslims were wiped out,1
women belong in a zoo,1
we have to hang all these immigrants,1
you need to stop calling people opportunity pearls,0
there are too many hate b44rds in this country,1
if the idea comes from a black person it s got to be bullshit,1
a transgender must have committed that crime and only they can be so violent and cruel,1
transgenders like you deserve to s t e r e n,1
there are too many camel fuckers in this country,1
you re just an n1knok,1
such muslims must be executed,1
if women like you refuse to fit in they must suffer for it,1
as far as i m concerned disabled people can all get cancer,1
we are a group of muslims,0
i wish all the homosexuals on the street were shot,1
i wanted immigrants like all of you to have their throats slit,1
women s lives may not be worth a cunt to you but luckily your opinion doesn t matter,0
these disabled people may look human but they re just parasites on our society,1
we must not let any black people suffer,0
i m trying to deal with muslims but they re just too repulsive,1
immigrants are disgusting,1
typical behavior for a faggot,1
tr4nsbenders must all be locked in cages,1
women are a kank3rge tumor,1
transgenders are all huge assholes,1
no muslim can ever be a valuable member of society,1
saying you hate immigrants shows how misguided you are,0
slims belong in a zoo,1
i m really just gon na kill those muslims,1
black people are scum,1
a woman is nothing but afavl,1
oh man that was really nasty of me to say,0
women are all huge assholes,1
i can t stand black people like you,1
muslims are great,0
it would be best to drown those kinds of immigrants,1
homosexuals are clearly not equal to us,1
these black people are nothing but roaches,1
is it easy to see that all these muslims here disgust me,1
trade unionists are really brainless without exception,0
gay people are great,0
i ll cut through the throats of those transgenders,1
it s really not okay to call people funny,0
we don t treat so many authors who are homosexuals,0
if i woke up like a black person i d kill myself,1
damned women,1
bringing an immigrant to power is the best thing anyone can do,0
my dog is smarter than a disabled one could ever be,1
i really love disabled people,0
i m gon na hug a transgender tomorrow,0
i m seriously considering strangling a black person,1
i ll hurt you and other transgenders like you,1
transgenders like you should know your lives are worthless,1
those transgenders make me so happy,0
i believe it s typical of muslims to be so stupid,1
a black person is nothing but garbage,1
she should be killed,0
the lives of transgenders shouldn t be important to anyone,1
typical behaviour for a d e b i e l,1
there are too many opportunities pearls in this country,1
i want all the transgenders dodne,1
in my opinion black people like you deserve to die,1
all black people like her are despicable,1
transgenders in power are an asset to our society,0
i don t like people in general but i have no particular contempt for black people,0
i ll cut those black people s throats,1
black people must all be killed,1
we need to test new drugs on women before we test them on animals,1
those immigrants must be burned at the stake,1
i have no respect for people who write things like there are too many hate beards in this country,0
i believe it s typical of homosexuals to be so stupid,1
people need to understand that homosexuals are not a threat to our society,0
it s in everyone s interest to just butcher those immigrants,1
disabled people must be dumped in a landfill,1
i m gon na have to rape a disabled person today,1
what s wrong with saying that homosexuals like you deserve to die,1
putting an immigrant in charge is the biggest mistake anyone can make,1
i m gon na have to rape an immigrant today,1
let s just respect these immigrants,0
you and all the other immigrants are a scourge to society,1
words like transgenders are scum are very offensive,0
you muslims are all unfair,1
the lives of muslims are not worth a ku7,1
only private guards are so violent and cruel,0
i will never tolerate the systematic murder of immigrants in this country,0
allowing more immigrants into the government will ruin our country,1
women are never intelligent,1
even if muslims are sometimes nice they are still nothing but human waste,1
i ll cut the throats of those transgenders,1
you have to stop calling people hate beards,0
you re just a faggot,1
the world would be better off without homosexuals like you,1
i m gon na have to rape him today,0
all black persons,1
unbelievable what a bitch,1
we need to test new drugs for black people before we test them for animals,1
i wish all the transgenders on the street were shot,1
unbelievable what a bitch,1
black people are fantastic,0
gay people think they re special,1
my employer is also a disabled person,0
such homosexuals must be executed,1
someone should just knock down those handicapped people,1
there s nothing in the world i love less than a muslim,1
muslims can be nice to you sometimes,1
all those homosexuals in this country are pissing me off,1
it s me being around transgenders like you,1
i know women like you can t help it,1
h o m o s e k s u e l e n do not belong in a civilized country like this,1
the whores are back on track,1
i can t believe those muslims think i wouldn t kill them all,1
you have to stop calling people whores,0
there are too many ro3t jokes in this country,1
a muslim will die a gruesome death by my hands,1
women s lives are absolutely nothing,1
you re making me sick,0
only black people are so nice and compassionate,0
the levns of immigrants are worthless,1
people need to understand that immigrants are not a threat to our society,0
i wouldn t have a problem with transgenders if they weren t such huge bastards,1
there must be consequences for saying you d rape a woman,0
butchers are disgusting,0
we have to hang all these women,1
most t r a n s g e n d e r s are really fucked in their heads,1
typical behavior for an opportunity p4rel,1
disabled people are the worst kind of cocks,1
i despise him,0
we re talking about transgenders here and there s nothing they can do about being such assholes,1
it s in the nature of black people to be rude,1
i don t know many disabled people,0
i wanted gh4ndicapts like all of you to get slit throats,1
black people can t help being such oaks,1
i m trying to deal with black people but they re just too repulsive,1
black people like you are real heroes,0
i d like to see those women suffer,1
the lives of black people aren t worth protecting,1
in a just world muslims like you would all be dead,1
we don t treat so many authors who are muslims,0
he s worthless dirt,0
we must not allow women to suffer more than they already do,0
muslim lives may not be worth a cunt to you but fortunately your opinion doesn t matter,0
some immigrants come into the government and to me they re still just garbage,1
unbelievable what a whore,1
we ve never had a muslim prime minister before,0
raping an immigrant like you shouldn t be illegal,1
muslims like you deserve to die,1
i think someone should break the necks of those homosexuals,1
homosexuals with some power are a threat to our society,1
i disgust these homosexuals,1
i would never eat food touched by an immigrant,1
if transgenders like you refuse to fit in they must suffer for it,1
e mails like that pissed me off,0
the lives of transgenders don t matter,1
it s typical of a woman to be that way,1
i ll make those transgenders laugh,0
you re just a camel n3uker,1
let me make this clear i don t hate women,0
saying things like damn all transgenders show what a bad person you are,0
we should get rid of muslims once and for all,1
muslims need to be dumped in a landfill,1
transgenders are beautiful,0
we re a group of immigrants,0
women like you are pathetic,1
we have to hang all these women,1
no black person should be executed,0
you re just an n3ger,1
women are u t s c h o t,1
it s not the fault of disabled people that they re such oaks,1
when women look at me i think they can feel that i feel nothing but contempt for them,1
as far as i m concerned muslims are human waste,1
most homosexuals are absolute motherfuckers,1
typical behavior for a camel fucker,1
doesn t this make it clear that disabled people are scum,1
there must be consequences for saying you d rape an immigrant,0
your lives aren t worth shit to me you re just transgenders,1
we have to hang all these transgenders,1
i want all transgenders d o d e n,1
in my view the lives of black people are absolutely nothing,1
someone should just stab those transgenders,1
the lives of homosexuals are absolutely nothing,1
i wish sexists like all of you could get their throats cut,0
the world would be better off without you,0
we must never support a politician who treats homosexuals as human waste,0
i have nothing against muslims but most of them are pretty disgusting,1
in a just world homosexuals like you would all be dead,1
there s no room on this planet for a muslim like you,1
all these black people in this country are pissing me off,1
people who send messages like to me you re a bitch are blocked,0
gay people in charge is a danger to our country,1
black people are a virus,1
i abhor transgenders,1
those homosexuals may look human but they re just parasites on our society,1
women are cancerous,1
transgenders are without doubt the dumbest people on this planet,1
i despise muslims,1
