text,Positivity,Type,translated_text
дори е точно обратното,0,0,It's even the opposite.
не се обръщай назад и никакви съжаления,0,0,Don't look back and no regrets.
не знам какъв идиот трябва да си че да тръгнеш да изпреварваш където и да е без видимост,1,2,I don't know what kind of idiot you have to be to go ahead of anyone without a visual.
всичките на продукти зад които стоят жени със свой собствен малък бизнес,0,0,all the products behind which women stand with their own small business
предполагам че до    май ще има още по голяма сигурност,0,0,I guess there'll be even more security by May.
при първото мина бавно във времето и прилагахме стоп кърмене второто беше в болница,0,0,the first time we passed slowly in time and applied stop breastfeeding the second was in a hospital
хареса ми и ще я ползвам на индукционен котлон,0,0,"I liked it, and I'm gonna use it on an induction stove."
в петък ми се запуши жестоко носа и бях като парцал но не съм вдигала температура,0,0,"Friday, my nose got clogged up, and I was like a rag but I didn't get a fever."
наравно с тестван и наравно с оздравял,0,0,equal to tested and equal to healed
най любимо ми е да почнат да ме коментират някви бабушкери що не съм станала отместила или каквото и да е за да им направя място като по това време може да ти е лошо изморено много повече отколкото на тях и т,1,2,"It's my favorite thing to start commenting on some baboons why I didn't get up and move or whatever to make a place for them, and at that time you could be sicker than they are and more tired."
иван вярва че нашето здраве зависи пряко от качеството на околната среда в която живеем както и че чистият въздух чистата вода и чистата храна са основни предпоставки за да бъдем здрави,0,0,Ivan believes that our health depends directly on the quality of the environment in which we live and that clean air and clean food are basic prerequisites for being healthy
отмъква му камата и се самоубива като разкрива пред синът че са свързани и неговата сила минава през него ако той умре и той ще загуби силата си,0,0,He steals his dagger and kills himself by revealing to the son that they're connected and his power passes through him if he dies and he loses his power.
всеки път когато той сякаш стигаше до края на пътуването си само за да му вземат наградата по най бруталния начин а паралелът между двете жени в живота му не ни се струва случайност или прищявка на съдба,0,0,Every time he seemed to come to the end of his journey just to get his reward in the most brutal way and the parallel between the two women in his life didn't seem like a coincidence or a whim of fate.
не е за мен,0,0,It's not for me.
ами пепел пепел ама,0,0,"Well, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash, ash."
двойката има син силас,0,0,The pair has a blue force.
и наистина добре се намеси вежди рашидов,0,0,And really good eyebrows got involved Rashidov
правителствата по целия свят имаха ограничени стратегии за справяне с него,0,0,governments all over the world had limited strategies to deal with it.
там си въвеждате ръст килограми силует години дали искате свободно или стегнато и пр,0,0,there you enter your weight in silhouette years whether you want free or tight and so on
никъде не съм си позволила да квалифицирам теб или твоето дете за да ми отговаряш с нападки обиди и така ядно,0,0,I didn't allow myself to qualify you or your child to answer me with insults and so angry.
неспокойното безпокойство почувствано по рано се повтаря тъй като в отговор на провокацията на каврук санджар се качва на коня с булката зад себе си и тръгва бързо за радост на майка си която изглежда много обидена от многократните препратки към санджар и дъщерята на мистериозния посланик наричана загадъчно като „пъстра птичка“,0,0,The restless anxiety felt earlier is repeated as in response to the provocation of a kowruk sangjar gets on the horse with the bride behind him and goes quickly for the joy of his mother who seems very offended by the repeated references to the Sanjar and the daughter of the mysterious ambassador called the mysterious as a colorful bird
андреева се занимава с ин витро и много бързо ще те пусне по пързалката на ин витрото,0,0,Andreeva deals with in vitro and will very quickly drop you down the rink of the in vitro
с това участието му в сериала и всички бъдещи сезони се изчерпва,0,0,with this his participation in the show and all the future seasons are running out
споделям няколко кадъра на серкан които не съм виждала в темата досега,0,0,I share a few frames of a serkan I've never seen in the subject before.
някакво уникално решение на бозата между везната и телеца,0,0,some unique solution of the bosa between the scales and the calf
но със сигурност не са се ориентирали по сатурацията дали е добре или зле,0,0,But they certainly didn't navigate on sats whether it was good or bad.
филър в скули или назолабиални за пълен ефект ходя при д р атанасова в пл в тя работи само с тези конци има ли някой който ги е слагал и след това е сменил с аптос anchor все пак не е евтина процедура и събирам мнения харесва ми работата на ванеска тя е с аптос филър за цялостен лифтинг и резултатът е уау,0,0,Filler in cheekbones or nasolabials for full effect I go to dr atanasova in pl in she works only with these threads is there anyone who has put them in and then switched them with anchore apptos is still not a cheap procedure and I like the work of a wank she has an appos filler for a complete lift and the result is wow
оня простия народ който се очакваше да му даде още малко време за да усвои многото кинти които се очакват от европа,0,0,That simple people who were supposed to give them a little more time to absorb the many bucks that are expected of the Europeans
възможно е например да се наложи в офис да се извършват производствени дейности жилище да се използва за магазин или пък къща която ще се ползва като хотел и т,0,0,"For example, it may be necessary to carry out production activities in an office to use a shop or a house that will be used as a hotel, etc."
изгоряха ми капачките и никой от кк не ме отразява,0,0,"They burned my kneecaps, and no one from how it reflects me."
владко от малък пее но с мама и таткоhttps www,0,0,She's been singing since she was a kid but with Mom and Dadhttps.
uk въведете желания град задайте нещата които ви интересуват например къща или апартамент брой спални да има двор или не и т,0,0,uk enter the desired city set the things that interest you for example house or apartment number of bedrooms to have a yard or not and t
много хора ще си сложат от нея а и доста държави извън ес я определиха като много добра,0,0,"A lot of people are gonna put it on, and a lot of countries outside of the es have defined it as very good."
чувствах се унила дори и след като се върна изолацията продължаваше,0,0,"I felt down even after he came back, the isolation continued."
хубав сутиен без банели,0,0,nice bra without banels
има различни цветове,0,0,there are different colors
ти пак се дърлиш не съм била прочела какво не съм прочела за нея и къде да го прочета като няма нищо никъде за четене за нея,0,0,I haven't read what I haven't read about her and where to read it when there's nothing to read about her.
от самото начало видяхме че връзката им не върви добре,0,0,"From the very beginning, we saw that their relationship was not going well."
тестери на том форд за по       лева на memo paris за    лева тестер на by kilian intoxicated edp    ml за    лева,0,0,tom Ford for leva of memo paris for leva tester by killian intoxicated edp ml for leva
ако си склонна да приемеш по ниското заплащане срещу евентуален растеж в йерархията в бъдеще приеми но първо прецени дали с тези пари ще се оправяте,0,0,"If you're willing to accept the lower pay against possible growth in the hierarchy in the future, accept but first consider whether you can handle this money."
искам да изкажа разочарованието си от дом за стари хора  надежда село миладиновци област ямбол,0,0,I want to express my disappointment at a home for old people hope village Miladinov district yambol
моля ако някой е поръчвал тестер на долче и габана лайт блу мъжки и дамски от парфимо да сподели дали идват с капачка,0,0,please if someone has ordered a dolce tester and a gigantic light blue male and parfimo ladies to share whether they come with a cap
веднага след раждането каза че съжалява че не е била секцио но няколко седмици по късно явно забрави какво е говорила и обясняваше че няма по хубаво от естественото раждане,0,0,"Right after the birth, she said she was sorry she wasn't a C-section, but a few weeks later she obviously forgot what she said and explained that there was nothing better than a natural birth."
старият карло с последни сили уайфай копеле,0,0,"The old carlo with the last force, the waiffy bastard."
хайде rff не слагай мерило секс или доброто на детето че е е много грозно,0,0,"Come on, rff, don't put a measure of sex or the good of the kid that's very ugly."
при по и до съвместно е най много от полза,0,0,The most common side effect is with or without ribavirin.
са защото са празни отвътре без автентични страсти предпочитания и без да им каже някой нещо ще седят и ще тъпеят както и никога няма да имат своя идея която да прокарат на работа,0,0,are because they're empty on the inside without authentic passions preferences and without telling them anything they'll sit and suck and never have an idea to push to work
ако се разгледа степента на родство между овца кит и кон то овцата и кита са братовчеди а конят е в съвсем друго разклонение на еволюционното развитие,0,0,"If the degree of kinship between a sheep whale and a horse is considered, then the sheep and the whale are cousins and the horse is in a completely different branch of evolutionary development"
покривни широка четка и издържат на всичко без забележки,0,0,cover broad brush and withstand anything without remarks
сега забелязвам че пак се появяват като хапва банани,0,0,Now I notice they're showing up by eating bananas again.
просто се уморих съжалавам че досаждам просто исках да споделя с някого имам чувството че няма измъкване,0,0,I'm just tired of being a pain in the ass. I just wanted to share with someone. I feel like there's no way out.
не че не можеш да купиш боклук за много пари де,0,0,Not that you can't buy garbage for a lot of money.
хората които пишат диалозите са супер рядко се случва в българска продукция диалозите да ми харесат,0,0,People who write dialogues are super rare happens in Bulgarian production to like dialogues
уникално е чувството,0,0,It's a unique feeling.
хич не ги жаля такива безхаберници,0,0,I don't pity such hibernates at all.
жалкото е че сега този отново лаик се намира в парламента,0,0,The pity is that this Laik is in parliament again.
защо доброто образование е свързано само с частни уроци задължително,0,0,why good education is related only to private lessons compulsory
всички експерти са просто в потрес от нежеланието на хората да се ваксинират най голямата победа на науката да се превърне във фарс,0,0,All experts are simply shocked by the unwillingness of people to inoculate the greatest victory of science to become a farce.
днес почнах да си самовнушавам че маца се отърва от мъките че нищо не я боли вече и че я обичахме като наше дете и е била щастлива макар и за кратко,0,0,"Today I started to think that the chick got rid of the pain that nothing was hurting her anymore and that we loved her as our child and she was happy, though for a while."
но в центъра ми се вижда добре като акцент блясък при мигане притваряне на очите,0,0,"But in the center, it's as good as an accent of twinkle when your eyes are closing."
тук вече може би и от годините ми идва здравия разум преди млада зелена абе гъска си бях,0,0,I may have come to my senses from my age before a young green goose.
обади се и извика техници,0,0,Call and call techs.
тези от софиямел пък уж играта им е до,0,0,Those from the sophiamel supposedly their game is up.
е тогава ти го направи да те видим,0,0,"Well, then you do it so we can see you."
как така нали му я гласуваха,0,0,How come he got the vote?
винаги така казват особено по телефона,0,0,That's what they always say on the phone.
точно така тя си каза че допозитът е покрил последния наем,0,0,That's exactly how she said the deposit covered the last rent.
si traci oddaje kdo je skrivnostni turski igralec ki ze navdusuje slovenke,0,0,i tracci oddaje kdo je skrivnostni turski igralec ki ze navduzue slovenke
изливам само върху хартия за печене но леко много леко намадлена с масло хващам парчето масло и минавам отгоре колкото да има лек слой начупвам и след това смилам в блендер,0,0,I pour only on baking paper but slightly slightly buttery grab the piece of butter and go over as much as a light layer break and then grind into a blender
добро утросега има включване по нова телевизия и много обнадеждаващо интервю как ще се влиза в гърция,0,0,Good morning now there is a new TV turn on and a very encouraging interview on how to enter the Greek
във всеки пост се правиха сравнения с този актьор и разбира се в негова полза,0,0,"In each post, comparisons were made with this actor and, of course, in his favor."
едната вечер вечеряхме във  форумския ресторант два дни прекарахме в кадъкьой,0,0,One night we had dinner at the forum restaurant for two days we spent in Cadiquoi.
нинко младежа явно е пропуснал част от иито        нямало тест ама на двора имало и олимпийски игри,0,0,The ninko young man apparently missed some of it and there was no test but there were Olympics in the yard.
абе върти си любов където си искаш ама трябва да имаш топки за да си понесеш последствията,0,0,You gotta have balls to face the consequences.
и да започнеш да градиш живота си,0,0,And start building your life.
 от този брак не получих дори една лира,0,0,I didn't even get a pound out of this marriage.
какво са избелителите на кислородна основа,0,0,what oxygen-based bleachers are
демир вече реагира на това което тя сама заложи,0,0,Demir's already reacting to what she bet herself.
ако ги държите в хладилника трябва да ги извадите няколко часа преди варенето,0,0,if you keep them in the refrigerator you should remove them a few hours before boiling
жалко че не е светулка а фарът на идващия насреща ни влак,0,0,Too bad it's not a firefly. It's the lighthouse on the train coming in.
и то просто щото не съм им търсила целенасочено аналог във веригите иначе сигурно мога да намеря и там опаковка литър по евтина от    мл на медикс,0,0,"And it's just that I didn't look for a purposeful analogue in the chains, otherwise I could probably find a pack of liters cheaper than a milligram per medix."
може да е както хакват и пръскачките,0,0,It could be like hacking and sprinklers.
след колко дневно закъснение да звънна на гинеколожката за преглед,0,0,after how late a day to call the gynecologist for an examination
по принцип не трябва да се ползва при тея перални течен,0,0,should not normally be used in these washing machines liquid
ааааа без деца не не не,0,0,"No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no., no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no"
следя от доста време темите но ми е трудно да взема решение за себе си,0,0,"I've been following the topics for a long time, but I'm having a hard time making a decision about myself."
ей дундьо какво ме зяпаш,1,2,What are you staring at?
спекулирам нямам инфо но абсолютно допускам че далавери има,0,0,"I'm speculating I don't have any info, but I absolutely assume that there are deals."
по същите причини ми хареса и смелата сцена на лиза б,0,0,For the same reasons I also liked the brave scene of the lisa b
бащите просто приемат техните виждания дали защото ги признават за по компетентни по тези въпроси дали защото не им се занимава с  глупости а и ако реши една свекърва да обсъжда подобни въпроси със сина си представям си какви писъци ще нададе снахата че е пренебрегвана изолирана и способностите й на майка подценявани,0,0,Fathers simply accept their views whether because they recognize them as more competent in these matters whether because they don't want to deal with nonsense and if a mother-in-law decides to discuss such matters with her son I imagine what screams the daughter-in-law will give her that she is neglected and her mother-in-law's abilities underestimated
изключвам половия живот,0,0,I'm shutting down sex life.
сега защо през      певицата е пяла за водата а днес казва  амин е тема по която можем много да разсъждаваме но не си струва,0,0,"Now why did the singer sing about the water, and today she says amen is a topic that we can think about a lot but it's not worth it."
този човек част ли е семейството,0,0,Is this guy part of the family?
яко бременеене някои от момите снахи заедно с майките си се надпреварватмалка част от фамилията cdn,0,0,Some of the girls' daughters-in-law and their mothers are racing a small part of the family cdn
с какво може да се овлажни кожата за по дълъг период от време,0,0,what may moisten the skin over a long period of time
при нас без кебапчета само наденици,0,0,With us no kebabs only sausages
чрез подли номера да изложат недим така хем джемре ще се разочарова от него хем агях че да може плана на шинис да проработи и агях да не даде фирмата на недим,0,0,By tricky tricks to expose us so both a Jemre will be disappointed with him and agnat that the plan of a shiniss will work and agnah will not give the firm to a Nedym.
тук е възможно и аз да не съм успяла да намеря такъв сертификат за производство,0,0,It's possible that I haven't been able to find such a production certificate.
тези които се ползват в парфюмерията са някакъв друг вид не този сибирския ирис който срещаме по нашите ширини най често какъвто е и този от снимката ми,0,0,Those who are used in perfumery are some other kind of Siberian iris that we see on our widths most often as is the one in my picture.
той е точно каквото описваш като търсене,0,0,He's exactly what you describe as a search.
на мен това ми се случи в деня след секциото,0,0,It happened to me the day after the session.
